sample_id,latitude,longitude,date,area_hectares,tree_count,trees_per_hectare,density_category,dominant_species,ndvi,nir,red,green,blue,gndvi,nir_red_ratio,green_red_ratio,nir_std,texture,canopy_density,forest_type,elevation_m,slope_degrees,source,quality_score
dang_0001,20.978697,73.867073,2024-03-29,1.0,163,163.87,very_dense,Teak,0.7669,0.5701,0.1659,0.2001,0.0943,0.4804,3.4353,1.2054,0.1476,0.1169,88.05,Teak Plantation,150.7,34.7,Field_Survey_2024,0.8957532409873155
dang_0002,20.499985,73.506723,2024-03-27,1.0,164,164.47,very_dense,Teak,0.7209,0.5618,0.1704,0.2184,0.1585,0.44,3.2956,1.2813,0.08,0.2543,84.81,Tropical Deciduous,727.2,6.0,FSI_Report_2017,0.8380074656650814
dang_0003,20.986265,73.905908,2024-03-09,1.0,140,140.64,very_dense,Kher,0.7346,0.5649,0.1979,0.2415,0.1633,0.401,2.8524,1.2195,0.076,0.2173,74.56,Teak Plantation,553.9,7.3,DAIICT_Study_2019,0.8910558705816198
dang_0004,20.923691,73.72361,2024-03-10,1.0,175,175.79,very_dense,Teak,0.7897,0.6,0.1219,0.1794,0.0845,0.5396,4.9163,1.4699,0.0988,0.2166,76.78,Teak Plantation,488.9,9.8,DAIICT_Study_2019,0.9371621079805359
dang_0005,20.903355,73.532894,2024-03-07,1.0,156,156.94,very_dense,Teak,0.7592,0.5849,0.1236,0.1798,0.1511,0.5296,4.7268,1.4533,0.1685,0.2818,93.16,Teak Plantation,1019.2,29.8,DAIICT_Study_2019,0.7560454976376496
dang_0006,20.684516,73.834972,2024-03-05,1.0,169,169.18,very_dense,Teak,0.7956,0.6,0.1585,0.1679,0.1513,0.5626,3.7824,1.0587,0.1641,0.2684,89.27,Tropical Deciduous,646.6,15.0,FSI_Report_2017,0.8536428410239634
dang_0007,20.512344,73.818487,2024-03-20,1.0,162,162.53,very_dense,Teak,0.8043,0.5965,0.1691,0.231,0.1003,0.4417,3.5247,1.3648,0.1914,0.2797,87.37,Teak Plantation,743.1,10.3,FSI_Report_2017,0.9244677025473619
dang_0008,20.607215,73.706712,2024-03-30,1.0,161,161.57,very_dense,Teak,0.8211,0.6,0.1355,0.1665,0.1028,0.5655,4.4259,1.2282,0.1141,0.3454,91.52,Tropical Deciduous,635.2,14.6,FSI_Report_2017,0.8756132282065767
dang_0009,20.667672,73.974281,2024-03-22,1.0,148,148.75,very_dense,Teak,0.7837,0.6,0.1214,0.1881,0.1047,0.5226,4.9393,1.5484,0.1544,0.3137,73.7,Teak Plantation,403.4,34.2,DAIICT_Study_2019,0.8998395002236861
dang_0010,20.671455,73.817441,2024-03-30,1.0,145,145.8,very_dense,Teak,0.7734,0.6,0.1422,0.2508,0.1562,0.4104,4.217,1.7629,0.0856,0.3185,79.19,Teak Plantation,751.9,18.8,FSI_Report_2017,0.8688355702992286
dang_0011,20.659132,73.589807,2024-03-29,1.0,174,174.33,very_dense,Kalam,0.7489,0.5714,0.1964,0.2714,0.1149,0.3558,2.907,1.381,0.0644,0.3822,79.94,Tropical Deciduous,945.8,23.6,Field_Survey_2024,0.9781311452769315
dang_0012,20.771077,73.848667,2024-03-07,1.0,166,166.4,very_dense,Teak,0.8226,0.6,0.1562,0.1863,0.0893,0.5261,3.839,1.1919,0.1846,0.3701,85.83,Tropical Deciduous,481.7,25.4,Satellite_Analysis,0.7625629533924788
